ID Cor,Nome,Código
7250,"Branco","#FFFFFF"
7365,"Preto","#000000"
7368,"Prata","#C0C0C0"
8067,"Carvalho","#DABA58"
8068,"Branco+Tabaco","#FFFFFF"
8099,"Laranja","#FF6600"
8100,"Verde","#33CC00"
12321,"Cromo","#999999"
13497,"Azul","#0000FF"
13504,"Vermelho","#FF0000"
17658,"Roxo","#663399"
17659,"Pink","#FF00CC"
20866,"Amarelo","#FFFF33"
20867,"Sortido","#FFFFFF"
20868,"Teka","#FFCC99"
20869,"Terrarum","#330000"
27195,"Rosa","#FF0099"
27341,"Transparente","#FFFFFF"
34965,"Fume","#333333"
38370,"Branco+Vermelho","#FFFFFF"
38371,"Branco+Verde","#FFFFFF"
38372,"Branco+Azul","#FFFFFF"
38373,"Branco+Rosa","#FFFFFF"
38374,"Branco+Branco","#FFFFFF"
38375,"Cromo+Branco","#EEEEEE"
38376,"Cromo+Verde","#EEEEEE"
38377,"Cromo+Azul","#EEEEEE"
38378,"Cromo+Rosa","#EEEEEE"
38379,"Preto+Branco","#CCCCCC"
38380,"Preto+Azul","#CCCCCC"
38381,"Preto+Rosa","#CCCCCC"
38382,"Preto+Verde","#CCCCCC"
38702,"Branco+Preto","#EEEEEE"
38703,"Branco+Roxo","#EEEEEE"
38704,"Branco+Laranja","#EEEEEE"
38705,"Cromo+Preto","#CCCCCC"
38706,"Cromo+Roxo","#CCCCCC"
38707,"Cromo+Laranja","#CCCCCC"
38708,"Preto+Roxo","#999999"
38709,"Preto+Laranja","#999999"
38710,"Preto+Preto","#000000"
41970,"Preto+Cromo","#000000"
41971,"Preto+Vermelho","#000000"
41972,"Preto+Transparente","#000000"
41973,"Preto+Fumê","#000000"
41974,"Cromo+Cromo","#CCCCCC"
41975,"Cromo+Vermelho","#CCCCCC"
41976,"Cromo+Transparente","#CCCCCC"
41977,"Cromo+Fumê","#CCCCCC"
41978,"Branco+Cromo","#FFFFFF"
41979,"Branco+Transparente","#FFFFFF"
41980,"Branco+Fumê","#FFFFFF"
41981,"Branco+Colorido","#FFFFFF"
41982,"Preto+Colorido","#000000"
41983,"Cromo+Colorido","#CCCCCC"
41993,"Transparente+Branco","#FFFFFF"
41994,"Transparente+Verde","#FFFFFF"
46654,"Azul+Verde","#0099FF"
47990,"Vermelho+Preto","#FF0033"
62332,"Preto+Tabaco","#CCCCCC"
62333,"Cromo+Tabaco","#EEEEEE"
62401,"Tabaco","#663300"
62468,"Preto+Gianduia","#CCCCCC"
62469,"Preto+Canion","#CCCCCC"
62735,"Preto+Teka","#CCCCCC"
62736,"Preto+Positano","#CCCCCC"
62737,"Preto+Palissandro","#CCCCCC"
62738,"Preto+Rovere","#CCCCCC"
62739,"Preto+Terrarum","#CCCCCC"
62740,"Cromo+Teka","#CCCCCC"
62741,"Cromo+Positano","#CCCCCC"
62742,"Cromo+Gianduia","#CCCCCC"
62743,"Cromo+Palissandro","#CCCCCC"
62744,"Cromo+Rovere","#CCCCCC"
62745,"Cromo+Terrarum","#CCCCCC"
62746,"Cromo+Canion","#CCCCCC"
63326,"TekaArtico","#FFFFFF"
63327,"NoceNaturale","#FFFFFF"
64360,"Metalic+Azul","#FFFFFF"
64436,"Metalic+Branco","#FFFFFF"
64437,"Metalic+Canion","#FFFFFF"
64438,"Metalic+Colorido","#FFFFFF"
64439,"Metalic+Gianduia","#FFFFFF"
64440,"Metalic+Laranja","#FFFFFF"
64441,"Metalic+Palissandro","#FFFFFF"
64442,"Metalic+Positano","#FFFFFF"
64443,"Metalic+Preto","#FFFFFF"
64444,"Metalic+Rosa","#FFFFFF"
64445,"Metalic+Rovere","#FFFFFF"
64446,"Metalic+Roxo","#FFFFFF"
64447,"Metalic+Tabaco","#FFFFFF"
64448,"Metalic+Teka","#FFFFFF"
64449,"Metalic+Terrarum","#FFFFFF"
64453,"Metalic+Verde","#FFFFFF"
64454,"Metalic+Vermelho","#FFFFFF"
64707,"Metalic","#FFFFFF"
66753,"Branco+Alecrim","#FFFFFF"
66754,"Branco+Ipe","#FFFFFF"
66755,"Branco+Lavanda","#FFFFFF"
66756,"Branco+Pitanga","#FFFFFF"
66757,"Cobre+Branco","#FFFFFF"
66758,"Cobre+Preto","#FFFFFF"
66759,"Metalic+Alecrim","#FFFFFF"
66760,"Metalic+Ipe","#FFFFFF"
66761,"Metalic+Lavanda","#FFFFFF"
66762,"Metalic+Pitanga","#FFFFFF"
66763,"Alecrim","#FFFFFF"
66765,"Cobre","#FFFFFF"
66769,"Ipe","#FFFFFF"
66770,"Lavanda","#FFFFFF"
66771,"Branco+Cinza","#FFFFFF"
66772,"Cobre+Cinza","#FFFFFF"
66773,"Metalic+Cinza","#FFFFFF"
66774,"Preto+Alecrim","#FFFFFF"
66775,"Preto+Cinza","#FFFFFF"
66776,"Preto+Ipe","#FFFFFF"
66777,"Preto+Lavanda","#FFFFFF"
66778,"Preto+Pitanga","#FFFFFF"
